code,sex1or0,age,PA150m1or0,cdrisc_total,POMmean,CMAAS_total,Resilience_personalcompetence,Resilience_tolerance,Resilience_positiveaccept,Resilience_control,Resilience_spiritual
119,0,20,1,75,4.285714286,59,3,2.857142857,3.2,3.666666667,2
4001,0,21,1,75,4.142857143,77,3,2.857142857,3.2,3,3
164,0,21,1,75,3.571428571,68,3.5,2.571428571,3.2,2.666666667,2.5
143,0,20,1,75,4.285714286,47,3.25,3.142857143,3.6,1,3
23,0,20,1,74,3.857142857,39,2.875,3,3,3,3
1152,1,22,1,74,2.857142857,61,2.75,3,3,2.666666667,4
1021,1,24,0,74,3.428571429,86,3.125,2.571428571,3,3,3.5
1138,1,22,1,74,4.285714286,57,3,3.285714286,3.2,2.666666667,1.5
71,0,22,0,74,5,69,3,2.571428571,3.2,3.333333333,3
102,1,18,1,74,4,75,3.125,2.571428571,3.2,3.333333333,2.5
210,1,19,1,74,4,70,3,2.428571429,3.2,3.666666667,3
1143,0,22,0,74,4.142857143,51,3,2.428571429,3.2,3.333333333,3.5
1064,1,20,1,74,4,76,3,2.571428571,3.8,2.666666667,2.5
1027,0,20,1,73,3,69,3,3.428571429,2.4,2.666666667,2.5
1079,0,20,0,73,3.571428571,44,3.125,3.428571429,2.4,2.666666667,2
1059,1,24,1,73,4.285714286,65,3,2.857142857,3.2,2.666666667,2.5
1086,0,25,1,73,4,64,3,2.714285714,3.2,3,2.5
142,1,23,1,73,3.714285714,64,2.75,2.571428571,3.2,3.333333333,3.5
1004,0,24,1,73,4,61,3,3,3.4,2.333333333,2
111,1,23,0,73,4.285714286,74,2.875,2.571428571,3.4,3,3
208,1,22,1,72,3,55,3.125,3.285714286,2.2,2,3.5
68,1,21,1,72,4,63,2.875,3.142857143,2.8,3,2
114,1,20,1,72,4.142857143,39,2.625,3.142857143,2.8,2.666666667,3.5
113,1,18,1,72,3.428571429,54,3.125,2.571428571,2.8,3,3
1115,1,24,1,72,3.142857143,54,2.875,2.857142857,3,3,2.5
175,1,19,1,72,3,40,3.5,2.428571429,3,2.333333333,2.5
146,0,22,1,72,4,80,2.75,2.857142857,3.2,3,2.5
